STM_ADC,Temp
998,0
999,3
1000,6
1001,9
1002,12
1003,15
1004,18
1005,21
1006,25
1007,28
1008,31
1009,34
1010,37
1011,40
1012,43
1013,46
1014,50
1015,53
1016,56
1017,59
1018,62
1019,65
1020,68
1021,71
1022,75
1023,78
1024,81
1025,84
1026,87
1027,90
1028,93
1029,96
1030,100
1030,100
1031,103
1032,106
1033,109
1034,112
1035,115
1036,118
1037,121
1038,125
1039,128
1040,131
1041,134
1042,137
1043,140
1044,143
1045,146
1046,150
1047,153
1048,156
1049,159
1050,162
1051,165
1052,168
1053,171
1054,175
1055,178
1056,181
1057,184
1058,187
1059,190
1060,193
1061,196
1062,200
1062,200
1063,203
1064,206
1065,209
1066,212
1067,215
1068,218
1069,221
1070,225
1071,228
1072,231
1073,234
1074,237
1075,240
1076,243
1077,246
1078,250
1079,253
1080,256
1081,259
1082,262
1083,265
1084,268
1085,271
1086,275
1087,278
1088,281
1089,284
1090,287
1091,290
1092,293
1093,296
1094,300
1094,300
1095,303
1096,306
1097,309
1098,312
1099,315
1100,318
1101,321
1102,324
1103,327
1104,330
1105,333
1106,336
1107,339
1108,342
1109,345
1110,348
1111,351
1112,354
1113,357
1114,360
1115,363
1116,366
1117,369
1118,372
1119,375
1120,378
1121,381
1122,384
1123,387
1124,390
1125,393
1126,396
1127,400
1127,400
1128,402
1129,405
1130,408
1131,411
1132,414
1133,417
1134,420
1135,423
1136,426
1137,429
1138,432
1139,435
1140,438
1141,441
1142,444
1143,447
1144,450
1145,452
1146,455
1147,458
1148,461
1149,464
1150,467
1151,470
1152,473
1153,476
1154,479
1155,482
1156,485
1157,488
1158,491
1159,494
1160,497
1161,500
1161,500
1162,503
1163,506
1164,509
1165,512
1166,515
1167,518
1168,521
1169,524
1170,527
1171,530
1172,533
1173,536
1174,539
1175,542
1176,545
1177,548
1178,551
1179,554
1180,557
1181,560
1182,563
1183,566
1184,569
1185,572
1186,575
1187,578
1188,581
1189,584
1190,587
1191,590
1192,593
1193,596
1194,600
1194,600
1195,602
1196,605
1197,608
1198,611
1199,614
1200,617
1201,620
1202,623
1203,626
1204,629
1205,632
1206,635
1207,638
1208,641
1209,644
1210,647
1211,650
1212,652
1213,655
1214,658
1215,661
1216,664
1217,667
1218,670
1219,673
1220,676
1221,679
1222,682
1223,685
1224,688
1225,691
1226,694
1227,697
1228,700
1228,700
1229,702
1230,705
1231,708
1232,711
1233,714
1234,717
1235,720
1236,723
1237,726
1238,729
1239,732
1240,735
1241,738
1242,741
1243,744
1244,747
1245,750
1246,752
1247,755
1248,758
1249,761
1250,764
1251,767
1252,770
1253,773
1254,776
1255,779
1256,782
1257,785
1258,788
1259,791
1260,794
1261,797
1262,800
1262,800
1263,802
1264,805
1265,808
1266,811
1267,814
1268,817
1269,820
1270,823
1271,826
1272,829
1273,832
1274,835
1275,838
1276,841
1277,844
1278,847
1279,850
1280,852
1281,855
1282,858
1283,861
1284,864
1285,867
1286,870
1287,873
1288,876
1289,879
1290,882
1291,885
1292,888
1293,891
1294,894
1295,897
1296,900
1296,900
1297,902
1298,905
1299,908
1300,911
1301,914
1302,917
1303,919
1304,922
1305,925
1306,928
1307,931
1308,934
1309,937
1310,940
1311,942
1312,945
1313,948
1314,951
1315,954
1316,957
1317,960
1318,962
1319,965
1320,968
1321,971
1322,974
1323,977
1324,980
1325,982
1326,985
1327,988
1328,991
1329,994
1330,997
1331,1000
1331,1000
1332,1002
1333,1005
1334,1008
1335,1011
1336,1014
1337,1017
1338,1019
1339,1022
1340,1025
1341,1028
1342,1031
1343,1034
1344,1037
1345,1040
1346,1042
1347,1045
1348,1048
1349,1051
1350,1054
1351,1057
1352,1060
1353,1062
1354,1065
1355,1068
1356,1071
1357,1074
1358,1077
1359,1080
1360,1082
1361,1085
1362,1088
1363,1091
1364,1094
1365,1097
1366,1100
1366,1100
1367,1102
1368,1105
1369,1108
1370,1111
1371,1114
1372,1117
1373,1120
1374,1122
1375,1125
1376,1128
1377,1131
1378,1134
1379,1137
1380,1140
1381,1142
1382,1145
1383,1148
1384,1151
1385,1154
1386,1157
1387,1160
1388,1162
1389,1165
1390,1168
1391,1171
1392,1174
1393,1177
1394,1180
1395,1182
1396,1185
1397,1188
1398,1191
1399,1194
1400,1197
1401,1200
1401,1200
1402,1202
1403,1205
1404,1208
1405,1211
1406,1213
1407,1216
1408,1219
1409,1222
1410,1225
1411,1227
1412,1230
1413,1233
1414,1236
1415,1238
1416,1241
1417,1244
1418,1247
1419,1250
1420,1252
1421,1255
1422,1258
1423,1261
1424,1263
1425,1266
1426,1269
1427,1272
1428,1275
1429,1277
1430,1280
1431,1283
1432,1286
1433,1288
1434,1291
1435,1294
1436,1297
1437,1300
1437,1300
1438,1302
1439,1305
1440,1308
1441,1311
1442,1314
1443,1317
1444,1320
1445,1322
1446,1325
1447,1328
1448,1331
1449,1334
1450,1337
1451,1340
1452,1342
1453,1345
1454,1348
1455,1351
1456,1354
1457,1357
1458,1360
1459,1362
1460,1365
1461,1368
1462,1371
1463,1374
1464,1377
1465,1380
1466,1382
1467,1385
1468,1388
1469,1391
1470,1394
1471,1397
1472,1400
1472,1400
1473,1402
1474,1405
1475,1408
1476,1411
1477,1414
1478,1417
1479,1420
1480,1422
1481,1425
1482,1428
1483,1431
