Temp,Nom,Voltage,STM_ADC
(degC),(k ohm),(millivolts),(value)
-40,188.5,151.1335013,187.5887337
-39,178.6,159.0668081,197.4356503
-38,169.2,167.4107143,207.7922078
-37,160.4,176.056338,218.5232607
-36,152.1,185.0709439,229.7122989
-35,144.3,194.426442,241.3244565
-34,136.9,204.2205582,253.4810322
-33,130,214.2857143,265.974026
-32,123.4,224.8875562,279.1331607
-31,117.2,235.8490566,292.7387078
-30,111.3,247.3206925,306.9774414
-29,105.8,259.0673575,321.5575443
-28,100.6,271.2477396,336.6759822
-27,95.64,283.9833396,352.4835633
-26,90.97,297.1179558,368.7864082
-25,86.56,310.6876553,385.6292837
-24,82.38,324.7456159,403.0781948
-23,78.43,339.2513853,421.0829316
-22,74.69,354.2330854,439.6783993
-21,71.14,369.7313286,458.9150067
-20,67.79,385.653683,478.6780259
-19,64.61,402.0908725,499.0800648
-18,61.6,418.9944134,520.0609446
-17,58.74,436.4271167,541.6986273
-16,56.03,454.3389368,563.9309955
-15,53.46,472.7387331,586.7690457
-14,51.03,491.5615271,610.1321258
-13,48.71,510.9862034,634.2422694
-12,46.52,530.7855626,658.8174741
-11,44.43,551.166636,684.1147094
-10,42.45,571.9733079,709.9402028
-9,40.57,593.2370971,736.3330757
-8,38.78,615.0061501,763.3530881
-7,37.08,637.213254,790.9168147
-6,35.46,659.9208095,819.1017078
-5,33.93,682.904621,847.6294932
-4,32.46,706.5473387,876.975121
-3,31.07,730.4601899,906.6560418
-2,29.75,754.7169811,936.763865
-1,28.49,779.4232268,967.4295567
0,27.28,804.72103,998.8294966
1,26.14,830.1051467,1030.33657
2,25.05,855.9201141,1062.37842
3,24.01,882.0935019,1094.865147
4,23.02,908.5402786,1127.691206
5,22.07,935.453695,1161.096465
6,21.17,962.4639076,1194.621868
7,20.31,989.7723524,1228.517441
8,19.49,1017.293998,1262.677641
9,18.71,1044.932079,1296.982362
10,17.96,1072.961373,1331.772662
11,17.25,1100.917431,1366.47206
12,16.57,1129.092962,1401.44387
13,15.91,1157.85411,1437.142556
14,15.29,1186.23962,1472.374995
15,14.7,1214.574899,1507.545087
16,14.13,1243.265644,1543.156387
17,13.59,1271.725307,1578.480866
18,13.07,1300.390117,1614.059976
19,12.57,1329.198051,1649.816732
20,12.09,1358.080579,1685.666076
21,11.64,1386.321627,1720.719207
22,11.2,1415.09434,1756.432247
23,10.78,1443.695861,1791.932802
24,10.38,1472.031403,1827.10322
25,10,1500,1861.818182
26,9.633,1528.039525,1896.62118
27,9.282,1555.855202,1931.146336
28,8.945,1583.531275,1965.498213
29,8.622,1610.997745,1999.589928
30,8.312,1638.269987,2033.440566
31,8.015,1665.278934,2066.964398
32,7.73,1692.047377,2100.189714
33,7.456,1718.606783,2133.155571
34,7.194,1744.794696,2165.660326
35,6.942,1770.747255,2197.872957
36,6.7,1796.407186,2229.722374
37,6.468,1821.714841,2261.134542
38,6.245,1846.722068,2292.173815
39,6.031,1871.374212,2322.772355
40,5.826,1895.614811,2352.860081
41,5.628,1919.631431,2382.6698
42,5.438,1943.256899,2411.994018
43,5.255,1966.568338,2440.928458
44,5.08,1989.38992,2469.254883
45,4.911,2011.937496,2497.241207
46,4.749,2034.036206,2524.670394
47,4.592,2055.921053,2551.834131
48,4.442,2077.274616,2578.338432
49,4.297,2098.34231,2604.48791
50,4.158,2118.943354,2630.058175
51,4.024,2139.18996,2655.188508
52,3.895,2159.050018,2679.839053
53,3.771,2178.491032,2703.969475
54,3.651,2197.641198,2727.738893
55,3.536,2216.312057,2750.91339
56,3.425,2234.636872,2773.658372
57,3.318,2252.590479,2795.942607
58,3.215,2270.14756,2817.734668
59,3.115,2287.45711,2839.219492
60,3.019,2304.324449,2860.155437
61,2.927,2320.724066,2880.510841
62,2.837,2336.994625,2900.706056
63,2.751,2352.756647,2920.270069
64,2.668,2368.171771,2939.403507
65,2.588,2383.222116,2958.084178
66,2.511,2397.889857,2976.289956
67,2.436,2412.351238,2994.239597
68,2.364,2426.399224,3011.676128
69,2.295,2440.016267,3028.577767
70,2.227,2453.586325,3045.421087
71,2.163,2466.496752,3061.445666
72,2.1,2479.338843,3077.385425
73,2.039,2491.901321,3092.978124
74,1.981,2503.964611,3107.951226
75,1.924,2515.93425,3122.808087
76,1.869,2527.592889,3137.278931
77,1.817,2538.71541,3151.084339
78,1.765,2549.936252,3165.011784
79,1.716,2560.600888,3178.24886
80,1.668,2571.134727,3191.323588
81,1.622,2581.311306,3203.954882
82,1.577,2591.344908,3216.40871
83,1.534,2601.005722,3228.399829
84,1.492,2610.51166,3240.198715
85,1.451,2619.858528,3251.800161
86,1.412,2628.811777,3262.913042
87,1.374,2637.594514,3273.814282
88,1.337,2646.202699,3284.498865
89,1.302,2654.397452,3294.670292
90,1.267,2662.643117,3304.904911
91,1.234,2670.464661,3314.613107
92,1.201,2678.332292,3324.378505
93,1.17,2685.765443,3333.604623
94,1.139,2693.239968,3342.882094
95,1.11,2700.270027,3351.607888
96,1.081,2707.336883,3360.379355
97,1.053,2714.195241,3368.892032
98,1.027,2720.594903,3376.835371
99,1.001,2727.024816,3384.816256
100,0.975,2733.485194,3392.834956
101,0.951,2739.475847,3400.270627
102,0.927,2745.492816,3407.738962
103,0.904,2751.283933,3414.926967
104,0.881,2757.099531,3422.145357
105,0.86,2762.430939,3428.762765
106,0.838,2768.038383,3435.722793
107,0.818,2773.155851,3442.074656
108,0.798,2778.292276,3448.450049
109,0.779,2783.189535,3454.528586
110,0.76,2788.104089,3460.62859
111,0.742,2792.776019,3466.427447
112,0.724,2797.463633,3472.24577
113,0.707,2801.905296,3477.758816
114,0.69,2806.361085,3483.289395
115,0.674,2810.567735,3488.51074
116,0.658,2814.787014,3493.74776
117,0.643,2818.754111,3498.671769
118,0.628,2822.732405,3503.609676
119,0.613,2826.721945,3508.561541
120,0.599,2830.455703,3513.195927
121,0.585,2834.199339,3517.842573
122,0.572,2837.684449,3522.168334
123,0.559,2841.178142,3526.504748
124,0.546,2844.680448,3530.851853
125,0.534,2847.921018,3534.874088
126,0.522,2851.168979,3538.905496
127,0.511,2854.152792,3542.609041
128,0.499,2857.414992,3546.658123
129,0.488,2860.411899,3550.377921
130,0.478,2863.141821,3553.766333
131,0.467,2866.15076,3557.501065
132,0.457,2868.891652,3560.903093
133,0.447,2871.637791,3564.311634
134,0.437,2874.389192,3567.726706
135,0.428,2876.869965,3570.805872
136,0.419,2879.355024,3573.890357
137,0.41,2881.84438,3576.980176
138,0.401,2884.338044,3580.075342
139,0.393,2886.55826,3582.831101
140,0.385,2888.781897,3585.591106
141,0.376,2891.287587,3588.701199
142,0.369,2893.239464,3591.123892
143,0.361,2895.47341,3593.896693
144,0.354,2897.430945,3596.326409
145,0.346,2899.671371,3599.107253
146,0.339,2901.634587,3601.544021
147,0.332,2903.600465,3603.984092
148,0.326,2905.287623,3606.078213
149,0.319,2907.258455,3608.524434
150,0.313,2908.949869,3610.623837
